[DIVADM].[DPA_PROVIN].[DPA_PROVIN].[MEMBER_UNIQUE_NAME],[DIVADM].[DPA_PROVIN].[DPA_PROVIN].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[DPA_PROVIN].&[01],01,1256690
[DIVADM].[DPA_PROVIN].&[02],02,256677
[DIVADM].[DPA_PROVIN].&[03],03,248560
[DIVADM].[DPA_PROVIN].&[04],04,276264
[DIVADM].[DPA_PROVIN].&[05],05,488472
[DIVADM].[DPA_PROVIN].&[06],06,646663
[DIVADM].[DPA_PROVIN].&[07],07,1027096
[DIVADM].[DPA_PROVIN].&[08],08,577801
[DIVADM].[DPA_PROVIN].&[09],09,5668221
[DIVADM].[DPA_PROVIN].&[10],10,807303
[DIVADM].[DPA_PROVIN].&[11],11,640461
[DIVADM].[DPA_PROVIN].&[12],12,1087238
[DIVADM].[DPA_PROVIN].&[13],13,1174500
[DIVADM].[DPA_PROVIN].&[14],14,282424
[DIVADM].[DPA_PROVIN].&[15],15,126681
[DIVADM].[DPA_PROVIN].&[16],16,178424
[DIVADM].[DPA_PROVIN].&[17],17,5639488
[DIVADM].[DPA_PROVIN].&[18],18,976765
[DIVADM].[DPA_PROVIN].&[19],19,111473
[DIVADM].[DPA_PROVIN].&[20],20,72683
[DIVADM].[DPA_PROVIN].&[21],21,321692
[DIVADM].[DPA_PROVIN].&[22],22,228462
[DIVADM].[DPA_PROVIN].&[23],23,808745
[DIVADM].[DPA_PROVIN].&[24],24,353739
[DIVADM].[DPA_PROVIN].&,,4347
