[DIVADM].[SUBCIRCUIT].[SUBCIRCUIT].[MEMBER_UNIQUE_NAME],[DIVADM].[SUBCIRCUIT].[SUBCIRCUIT].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SUBCIRCUIT].&[S01],S01,12576234
[DIVADM].[SUBCIRCUIT].&[S02],S02,5756357
[DIVADM].[SUBCIRCUIT].&[S03],S03,2519173
[DIVADM].[SUBCIRCUIT].&[S04],S04,1377896
[DIVADM].[SUBCIRCUIT].&[S05],S05,559596
[DIVADM].[SUBCIRCUIT].&[S06],S06,283033
[DIVADM].[SUBCIRCUIT].&[S07],S07,98829
[DIVADM].[SUBCIRCUIT].&[S08],S08,81493
[DIVADM].[SUBCIRCUIT].&[S09],S09,3911
[DIVADM].[SUBCIRCUIT].&,,4347
