[DIVPOL].[REGION_1].[REGION_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[REGION_1].[REGION_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[REGION_1].&[AUSTRO],AUSTRO,1784917
[DIVPOL].[REGION_1].&[CENTRO],CENTRO,2290324
[DIVPOL].[REGION_1].&[CENTRO NORTE],CENTRO NORTE,976997
[DIVPOL].[REGION_1].&[DISTRITO METROPOLITANO DE QUITO],DISTRITO METROPOLITANO DE QUITO,5015101
"[DIVPOL].[REGION_1].&[GUAYAQUIL, SAMBORONDÓN Y DURÁN]","GUAYAQUIL, SAMBORONDÓN Y DURÁN",4503345
[DIVPOL].[REGION_1].&[LITORAL],LITORAL,2940507
[DIVPOL].[REGION_1].&[NORTE],NORTE,1983060
[DIVPOL].[REGION_1].&[PACÍFICO],PACÍFICO,1983245
[DIVPOL].[REGION_1].&[SUR],SUR,1779030
[DIVPOL].[REGION_1].&,,4343
